file,note_density,rhythm_regularity,repetition_rate,pitch_entropy
arm5_step_0000.mid,3.3263816475495314,1.98306434575144,0.0,5.651084443328415
arm5_step_0001.mid,4.047139982753665,1.2823806922168564,0.0,5.788909765473715
arm5_step_0002.mid,4.497319034852548,1.5067975687209658,0.0,5.59049328007535
arm5_step_0003.mid,4.031496062992126,1.575524846035001,0.0,5.7264097654766
arm5_step_0004.mid,3.5205029289898557,1.245979800778981,0.0,5.771640636263973
arm5_step_0005.mid,3.229813664596273,1.3398439150721118,0.0,5.776213966790934
arm5_step_0006.mid,3.1788079470198674,1.724483365366379,0.0,5.606890595534942
arm5_step_0007.mid,4.957323318538751,1.1294505886205115,0.0,5.729926126819198
arm5_step_0008.mid,2.923411452041556,1.9529687787786083,0.0,5.708632440720925
arm5_step_0009.mid,3.5618517581583604,1.2579019572331438,0.0,5.781249999917767
arm5_step_0010.mid,4.401397268974278,1.21500715083381,0.01694915254237288,5.697761820650287
arm5_step_0011.mid,3.961175974117316,1.2345851355016058,0.0,5.718749999919209
arm5_step_0012.mid,3.284282362977181,1.2126575205957513,0.0,5.79200243865072
arm5_step_0013.mid,3.3304080737165425,1.2164278975009213,0.0,5.705996376829017
arm5_step_0014.mid,3.522818254603683,1.5249298061689174,0.0,5.681727678791833
arm5_step_0015.mid,5.553997194950912,1.2883558825176988,0.0,5.647837264657509
arm5_step_0016.mid,5.209742895805142,1.2202863497008904,0.0,5.713291367164665
arm5_step_0017.mid,6.807632800412585,1.104728524291994,0.0,5.694309137161223
arm5_step_0018.mid,3.076923076923077,1.4070911379703523,0.0,5.635905167996538
arm5_step_0019.mid,3.4191355026711996,1.4124444708594837,0.0,5.831954882693577
arm5_step_0020.mid,3.797396717600453,1.5559244447436889,0.0,5.734016026006685
arm5_step_0021.mid,3.7536148062463854,1.4141213497888616,0.0,5.679253218776904
arm5_step_0022.mid,2.859500722096142,1.862320978282384,0.0,5.743075359892721
arm5_step_0023.mid,4.271164863144494,1.5659583051204848,0.0,5.799589796497046
arm5_step_0024.mid,3.8639455782312924,1.113764049254028,0.0,5.656514020710456
arm5_step_0025.mid,3.9298245614035086,1.6291046435164693,0.0,5.771640636263973
arm5_step_0026.mid,3.854014598540146,1.3224056822889974,0.0,5.747278354510582
arm5_step_0027.mid,2.6820809248554913,1.4091408099014908,0.0,5.54763616746923
arm5_step_0028.mid,3.694283244845043,1.0232452709170943,0.0,5.811655672015757
arm5_step_0029.mid,3.317927511554367,1.2860874037750845,0.0,5.85742211675337
arm5_step_0030.mid,4.444444444444445,1.1132383147364964,0.0,5.722217428265712
arm5_step_0031.mid,5.276595744680851,1.5606190911137279,0.0,5.748472318335707
arm5_step_0032.mid,4.680851063829787,1.08160841228591,0.0,5.683855750460014
arm5_step_0033.mid,4.100813861906012,1.2126660253956085,0.0,5.667146239047901
arm5_step_0034.mid,5.6367746797287115,1.078679168537807,0.0,5.7417308558103555
arm5_step_0035.mid,4.162601626016261,1.4458582479956144,0.0,5.656249999922096
arm5_step_0036.mid,3.388888888888889,1.4842645486290766,0.0,5.68885393581017
arm5_step_0037.mid,4.160935350756534,1.4089475675577272,0.0,5.599541531634344
arm5_step_0038.mid,3.8862820866685066,1.34280873280166,0.0,5.6951597654766
arm5_step_0039.mid,4.638655462184874,1.5251505470388647,0.0,5.628532928021086
arm5_step_0040.mid,3.3414853906551683,1.3543983290563646,0.0,5.734255125517012
arm5_step_0041.mid,3.4285714285714284,1.2110826902746257,0.0,5.602479553758659
arm5_step_0042.mid,3.5375807041052503,0.9286422177464368,0.0,5.6390170359158756
arm5_step_0043.mid,3.450980392156863,1.2349470279002375,0.0,5.790532187423814
arm5_step_0044.mid,4.052004333694475,1.3831818149430752,0.0,5.571000848837671
arm5_step_0045.mid,3.3274514746659944,1.3774113874934053,0.0,5.58172767879616
arm5_step_0046.mid,4.230769230769231,1.1538768128715156,0.0,5.638977224967722
arm5_step_0047.mid,3.4946636882601143,1.5362952730928774,0.0,5.769454882696462
arm5_step_0048.mid,2.930770910679188,1.7535341906255608,0.0,5.656067050564268
arm5_step_0049.mid,4.097560975609756,0.9274486081508695,0.0,5.77482139163731
arm5_step_0050.mid,4.518518518518518,1.3707934892370903,0.0,5.67647873085667
arm5_step_0051.mid,4.227965540092777,1.6149450097334528,0.0,5.685567201947662
arm5_step_0052.mid,4.923076923076923,0.981748857173284,0.0,5.738204882697904
arm5_step_0053.mid,3.2144804274343035,1.7639006086605873,0.0,5.715197026131853
arm5_step_0054.mid,4.9867774839440875,1.4036226693362848,0.0,5.694309137161223
arm5_step_0055.mid,3.7829457364341086,1.515841264515556,0.0,5.7340160260081285
arm5_step_0056.mid,4.360613810741689,0.90612894497633,0.0,5.760647923209311
arm5_step_0057.mid,4.2947103274559195,1.542974482983896,0.0,5.671780584432729
arm5_step_0058.mid,3.5675675675675675,1.517705197312095,0.0,5.656369263605818
arm5_step_0059.mid,3.4303002094484527,1.5153107832994315,0.0,5.685346279864639
arm5_step_0060.mid,3.985507246376812,1.5470159236614287,0.0,5.695504045768442
arm5_step_0061.mid,4.2403252522210515,1.4873592898256172,0.0,5.738204882697904
arm5_step_0062.mid,4.653433127237228,1.1982995435849846,0.0,5.837752428327953
arm5_step_0063.mid,2.7059742288168684,1.4431909919462045,0.0,5.711329328148131
arm5_step_0064.mid,4.527380537146843,0.9930058161259654,0.0,5.747049828943511
arm5_step_0065.mid,6.582278481012659,1.3068395019635035,0.0,5.691448197497927
arm5_step_0066.mid,3.4379132107224426,1.2531060401103271,0.0,5.814525120569078
