Timestamp,Condition_Label,HRV_SDNN,Mean_EDA,Target_Tempo,Target_Complexity
0.0,Baseline,74.71487753566934,5.421718321191011,90,0.5
10.0,Baseline,55.83722297747523,5.159829885441326,90,0.5
20.0,Baseline,100.54274482733682,5.004387374893995,90,0.5
30.0,Baseline,100.51652316197287,4.815652004990355,90,0.5
40.0,Baseline,94.07986186301119,4.7392440724139036,90,0.5
50.0,Baseline,82.13184567639706,4.596532175856075,90,0.5
60.0,Baseline,50.003174502399936,4.448551555227145,90,0.5
70.0,Baseline,48.04759545046381,4.304037282472869,70,0.2
80.0,Baseline,95.15498538196869,4.1777690291133345,90,0.5
90.0,Baseline,31.109855821776147,4.035182643487234,70,0.2
100.0,Baseline,33.25927146408947,3.9213874144434695,70,0.2
110.0,Baseline,43.4427522985449,3.8203882803998948,70,0.2
120.0,Baseline,73.90454712781751,3.735922222453859,90,0.5
130.0,Baseline,66.54154925892378,3.6354846320100282,90,0.5
140.0,Baseline,52.83818543861316,3.527315200941126,90,0.5
150.0,Baseline,67.01655247402707,3.4289162632942487,90,0.5
160.0,Baseline,67.9502664723788,3.333964817715956,90,0.5
170.0,Baseline,84.29002483657922,3.38100348272969,90,0.5
180.0,Baseline,50.662056718314375,3.2700986300040067,90,0.5
190.0,Baseline,35.38759674957563,3.1637120124413527,70,0.2
200.0,Baseline,43.30844630480074,3.0686044060553757,70,0.2
210.0,Baseline,40.23203673747269,2.983751601803772,70,0.2
220.0,Baseline,64.21410152668496,2.9046435041714056,90,0.5
230.0,Baseline,59.34563810344247,2.8181113494429564,90,0.5
240.0,Baseline,65.63151195714659,2.7442739761883486,90,0.5
250.0,Baseline,48.3121421567846,2.677152031095948,70,0.2
260.0,Baseline,42.2155437437528,2.6164034218771084,70,0.2
270.0,Baseline,48.33485805711404,2.555562253200026,70,0.2
280.0,Baseline,63.564496922548656,2.4969582140010593,90,0.5
290.0,Baseline,61.82118900854981,2.4433503206121774,90,0.5
300.0,Baseline,47.84351855344354,2.391724456455488,70,0.2
